Symbol,Name,Tag
TLT,iShares 20+ Year Treasury Bond ETF,bond
IEF,iShares 7-10 Year Treasury Bond ETF,bond
SHY,iShares 1-3 Year Treasury Bond ETF,bond
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,bond
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,bond
EFA,iShares MSCI EAFE ETF,market
EEM,iShares MSCI Emerging Markets ETF,market
VOO,Vanguard S&P 500 ETF,market
VFH,Vanguard Financials Index Fund ETF ,Financials
VAW,Vanguard Materials Index Fund ETF ,Materials
VDE,Vanguard Energy Index Fund ETF,Energy
VHT,Vanguard Health Care Index Fund ETF ,Health Care
VGT,Vanguard Information Technology Index Fund ETF,Information Technology
VIS,Vanguard Industrials Index Fund ETF ,Industrials
VPU,Vanguard Utilities Index Fund ETF,Utilities
VOX,Vanguard Communication Services Index Fund ETF,Communication
VDC,Vanguard Consumer Staples Index Fund ETF,Consumer Staples
VCR,Vanguard Consumer Discretionary Index Fund ETF,Consumer Discretionary
VNQ,Vanguard Real Estate Index Fund ETF ,Real Estate
