Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",7.6,45484221.6,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",25.55,0,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,2.29,71268376.98,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",12.4,801089885.2,n/a,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),21.1,176469132.6,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,53.32,1383930251,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",6.7,412753191.8,61604954,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",95.68,5101284257,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",102.63,3739444230,36436171,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,12.15,960983655.8,n/a,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,22.15,2041400327,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",17.4,388859080.2,n/a,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",44.3,1308041094,n/a,1972,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",31.55,1652028388,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",83.32,1891197360,n/a,1992,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,18.875,892887254.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,13.75,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,2.75,7085141.25,n/a,2014,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",384.36,17056104529,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd
ABLX,Ablynx NV,52.8,920981476.8,17442831,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ablx
ABP,Abpro Corporation,n/a,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abp
AXAS,Abraxas Petroleum Corporation,3.11,518039408.3,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,10.45,599770591.8,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",33,1324934853,n/a,2016,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.9,197526739.8,n/a,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",42.18,3721753101,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,18,2246867442,n/a,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",0.71,18203132.65,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",21.6,1166023058,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,35.74,1636010116,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,27.79,575293879.1,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,5,428190580,n/a,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",2.95,151395764.1,n/a,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx
ACER,Acer Therapeutics Inc.,18.97,142226304,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer
ACET,Aceto Corporation,2.78,85590762.32,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",12.45,557713823,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao
ACHV,"Achieve Life Sciences, Inc. ",1.15,14844121.8,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv
ACHN,"Achillion Pharmaceuticals, Inc.",3.7,511857030.6,n/a,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",23.89,2781403188,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",20.03,619047240.1,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs
ACMR,"ACM Research, Inc.",11.31,179152062.6,n/a,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr
ACNB,ACNB Corporation,31.9,224401826,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",23.7,1115475481,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor
SQZZ,Active Alts Contrarian ETF,25.58,639551.16,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sqzz
ATVI,"Activision Blizzard, Inc",71.99,54799136576,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi
ACXM,Acxiom Corporation,27.99,2187547394,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/acxm
ADMS,"Adamas Pharmaceuticals, Inc.",31.88,860196425.4,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,4.7,156930227,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,12.15,788469341.4,64894596,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,52.9,618525526.6,n/a,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",1.2983,13276409.31,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,8.65,185584244.9,n/a,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots
ADMA,ADMA Biologics Inc,5.44,246525807.4,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,238.09,1.17252E+11,n/a,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe
ADOM,"ADOMANI, Inc.",1.12,80346108.64,n/a,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom
ADTN,"ADTRAN, Inc.",14.85,711526493.7,n/a,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",7.95,625904708.4,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro
ADES,"Advanced Emissions Solutions, Inc.",11.66,239312067.1,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",63.65,2503317965,n/a,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis
AMD,"Advanced Micro Devices, Inc.",13,12601471844,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",1.87,97826897.63,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs
ADXSW,"Advaxis, Inc.",0.365,0,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxsw
ADVM,"Adverum Biotechnologies, Inc.",6.1,379858596.1,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm
ACT,AdvisorShares Vice ETF,25.1148,12557400,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act
AEGN,Aegion Corp,25.61,829757956,n/a,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn
AGLE,"Aeglea BioTherapeutics, Inc.",10.57,231048298.2,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,2.38,52249877.4,n/a,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr
AMTX,"Aemetis, Inc",1.755,35491171.95,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx
AERI,"Aerie Pharmaceuticals, Inc.",51.15,2020246998,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri
AVAV,"AeroVironment, Inc.",56.09,1340886755,n/a,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,1.88,30908628.8,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs
AEMD,"Aethlon Medical, Inc.",1.33,22211948.29,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd
GNMX,"Aevi Genomic Medicine, Inc.",1.66,98499859.9,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx
AFMD,Affimed N.V.,2.5,155975170,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,3.45,358796829.5,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
AGRX,"Agile Therapeutics, Inc.",0.69,23631304.92,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx
AGYS,"Agilysys, Inc.",12.76,297475870.6,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys
AGIO,"Agios Pharmaceuticals, Inc.",86.99,5011112971,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio
AGMH,AGM Group Holdings Inc.,8.62,183744394.1,n/a,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh
AGNC,AGNC Investment Corp.,18.89,7392176097,n/a,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.5399,8848300475,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,25.67,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AGFS,"AgroFresh Solutions, Inc.",7.05,355534080.3,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.45,0,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",5.19,76487116.38,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",31.3,1818386270,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",32.75,66901339.75,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",21.38,1263141347,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",8.33,80550783.46,n/a,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,0.649,29320359.1,45177749,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn
AKAM,"Akamai Technologies, Inc.",75.34,12855290042,n/a,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,1.9,28895916.3,15208377,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",23.09,1976348050,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
AKBA,"Akebia Therapeutics, Inc.",10.65,605806229.1,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,0.6,49184378.4,n/a,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",13.98,1751115438,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",6.39,142063758,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts
ALRM,"Alarm.com Holdings, Inc.",42.26,1998659189,n/a,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm
ALSK,"Alaska Communications Systems Group, Inc.",1.72,91349750.4,n/a,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk
ALBO,"Albireo Pharma, Inc.",32.86,392412115.5,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,6.77,93108175.58,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc
ALDR,"Alder BioPharmaceuticals, Inc.",15.2,1031320562,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",8.8,176962667.2,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",121.07,26938155269,n/a,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",30.65,252164415.6,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",298,23884593018,n/a,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",0.7702,53943584.15,n/a,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim
